scfFolio2,scfConsec2,scfNombre2,scfCodigo2,scfValor2,scfRazon12,scfRazon22,scfRazon32,scfCodErr2,scfRecal2,scfFraude2,inpICCVal2
2340674,1,BC SCORE,7,0716,04, , , , , , 
2340719,1,BC SCORE,7,0571,17,13, , , , , 
2211152,1,BC SCORE,7,0705,21,04, , , , , 
2340686,1,BC SCORE,7,0657,05,28, , , , , 
2340702,1,BC SCORE,7,0492,17,07,05, , , , 
2340678,1,BC SCORE,7,0693,31, , , , , , 
2340700,1,BC SCORE,7,0732,04, , , , , , 
2340701,1,BC SCORE,7,0682,16,28,31, , , , 
2340735,1,BC SCORE,7,0672,16,09, , , , , 
2340920,1,BC SCORE,7,0671,13,04, , , , , 
2340792,1,BC SCORE,7,0708,57, , , , , , 
2322532,1,BC SCORE,7,0665,13,04, , , , , 
2340835,1,BC SCORE,7,0707,29,09,04, , , , 
2340859,1,BC SCORE,7,0652,28,04, , , , , 
2340867,1,BC SCORE,7,0656,28,04, , , , , 
2340894,1,BC SCORE,7,0723,04, , , , , , 
2341298,1,BC SCORE,7,0686,15,29,28, , , , 
2341088,1,BC SCORE,7,0667,17,28,31, , , , 
2340898,1,BC SCORE,7,0634,15,28,18, , , , 
2341304,1,BC SCORE,7,-009, , , , , , , 
2340907,1,BC SCORE,7,0657,28,15,18, , , , 
2340921,1,BC SCORE,7,0689,21,15, , , , , 
2340940,1,BC SCORE,7,0714,04, , , , , , 
2340922,1,BC SCORE,7,0657,13,04, , , , , 
2341166,1,BC SCORE,7,0657,28,15,16, , , , 
2340937,1,BC SCORE,7,0668,13,04, , , , , 
2340964,1,BC SCORE,7,0732,04, , , , , , 
2340970,1,BC SCORE,7,-009, , , , , , , 
2341145,1,BC SCORE,7,-008, , , , , , , 
2340987,1,BC SCORE,7,0692,05, , , , , , 
2340995,1,BC SCORE,7,0732,04, , , , , , 
2341005,1,BC SCORE,7,0664,15,28,31, , , , 
2341016,1,BC SCORE,7,0679,28,32,21, , , , 
